Frequency DateTime Pmin Pmax PathLength XStart YStart XEnd YEnd ID
39.228 201208282230 -62 -62 1.66395 6.76447 53.16784 6.7396 53.16835 894
38.084 201208282230 -50 -50 1.32874 6.56879 53.00951 6.5834 53.01757 2912
37.079 201208282230 -47 -47 0.60799 6.57528 53.22887 6.57222 53.22372 892
25.41 201208282230 -57 -56 6.02163 6.56879 53.00951 6.48125 53.02138 2914
37.94 201208282230 -57 -56 1.63809 6.87816 53.08895 6.89421 53.10006 881
39.2 201208282230 -50 -49 1.5943 6.87999 53.11062 6.85956 53.10327 893
37.978 201208282230 -50 -49 2.00153 6.56877 53.21852 6.55517 53.2025 817
39.245 201208282230 -48 -47 1.55384 6.55446 53.2351 6.57528 53.22887 880
37.986 201208282230 -51 -51 1.61516 6.56879 53.00951 6.55769 52.99663 2915
39.364 201208282230 -56 -56 1.42305 6.57222 53.22372 6.56015 53.21319 822
39.165 201208282230 -45 -44 4.73183 6.71153 53.0478 6.74605 53.01071 884
39.172 201208282230 -43 -43 0.73526 6.5651 53.21662 6.5679 53.21023 885
26.418 201208282230 -49 -48 9.02027 6.60902 53.13927 6.53325 53.20633 883
25.382 201208282230 -54 -53 5.37254 6.53152 52.91973 6.54071 52.96769 891
39.228 201208282230 -56 -56 2.61441 6.58442 52.98799 6.56879 53.00951 2918
25.386 201208282230 -50 -50 6.22589 6.56879 53.00951 6.52698 52.95957 2916
37.912 201208282230 -46 -46 4.68488 6.66676 52.979730000000004 6.66934 52.93766 889
39.2 201208282230 -56 -55 1.63809 6.89421 53.10006 6.87816 53.08895 896
19.095 201208282230 -50 -49 14.52881 6.57222 53.22372 6.41436 53.134 890
39.343 201208282230 -48 -48 1.32874 6.5834 53.01757 6.56879 53.00951 2919
39.172 201208282230 -54 -53 2.88593 6.76447 53.16784 6.80701 53.16349 898
37.079 201208282230 -45 -44 0.60799 6.57528 53.22887 6.57222 53.22372 892
39.26 201208282230 -47 -46 1.36002 6.58308 53.19738 6.58561 53.20951 899
39.172 201208282230 -60 -59 2.97052 6.98795 53.09842 6.948 53.08685 901
26.39 201208282230 -52 -50 5.21172 6.70118 53.27074 6.74377 53.31 1003
37.992 201208282230 -44 -44 0.88424 6.57528 53.22887 6.58611 53.23344 904
39.172 201208282230 -44 -44 0.66044 6.58308 53.19738 6.57372 53.19929 918
26.39 201208282230 -45 -44 9.5461 6.52131 53.00002 6.3973 53.04206 902
